# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.460447885096073151e-02 4.863038659095764160e-03 2.315371036529541016e-01 5.493122339248657227e-01 5.097764134407043457e-01 2.460447885096073151e-02 4.863038659095764160e-03 2.315371036529541016e-01 5.493122339248657227e-01 5.097764134407043457e-01
1.000000000000000000e+03 9.241153748007491231e-06 9.917939314618706703e-04 5.332399450708180666e-05 5.297398311085999012e-04 3.399787843227386475e-01 9.241153748007491231e-06 9.917939314618706703e-04 5.332399450708180666e-05 5.297398311085999012e-04 3.399787843227386475e-01
2.000000000000000000e+03 1.183335916721262038e-05 1.675295829772949219e-02 3.628933336585760117e-04 6.622439250349998474e-04 1.448987983167171478e-02 1.183335916721262038e-05 1.675295829772949219e-02 3.628933336585760117e-04 6.622439250349998474e-04 1.448987983167171478e-02
3.000000000000000000e+03 5.104570391267770901e-06 6.931468844413757324e-03 1.005068552331067622e-04 1.241598365595564246e-04 7.352380082011222839e-03 5.104570391267770901e-06 6.931468844413757324e-03 1.005068552331067622e-04 1.241598365595564246e-04 7.352380082011222839e-03
4.000000000000000000e+03 3.399730758246732876e-06 5.186474416404962540e-03 8.717337186681106687e-05 5.601014709100127220e-05 2.071404363960027695e-03 3.399730758246732876e-06 5.186474416404962540e-03 8.717337186681106687e-05 5.601014709100127220e-05 2.071404363960027695e-03
5.000000000000000000e+03 3.562681285984581336e-06 4.348720423877239227e-03 9.770716133061796427e-05 8.662042819196358323e-05 6.586513947695493698e-03 3.562681285984581336e-06 4.348719958215951920e-03 9.770716133061796427e-05 8.662042819196358323e-05 6.586513947695493698e-03
6.000000000000000000e+03 2.718038786042598076e-06 3.212357638403773308e-03 7.922279473859816790e-05 6.749627937097102404e-05 6.313242018222808838e-03 2.718038786042598076e-06 3.212357638403773308e-03 7.922279473859816790e-05 6.749627937097102404e-05 6.313242018222808838e-03
7.000000000000000000e+03 1.010385290101112332e-06 2.685199724510312080e-03 1.365171647194074467e-05 5.810441143694333732e-05 1.148069859482347965e-03 1.010385290101112332e-06 2.685199724510312080e-03 1.365171647194074467e-05 5.810441143694333732e-05 1.148069859482347965e-03
8.000000000000000000e+03 3.588906452023366001e-07 2.166579943150281906e-03 7.855170736092986772e-08 8.670033821545075625e-06 6.931360694579780102e-04 3.588906452023366001e-07 2.166579943150281906e-03 7.855171446635722532e-08 8.670033821545075625e-06 6.931360694579780102e-04
9.000000000000000000e+03 1.168507068882718158e-07 1.833708374761044979e-03 4.558642885399422084e-08 4.683265160565497354e-06 9.385777957504615188e-05 1.168507068882718158e-07 1.833708724007010460e-03 4.558642885399422084e-08 4.683265160565497354e-06 9.385777957504615188e-05
1.000000000000000000e+04 8.036287368895500549e-08 1.690955366939306259e-03 3.034856987937928352e-08 1.374990733893355355e-05 7.620750693604350090e-04 8.036287368895500549e-08 1.690955366939306259e-03 3.034856632666560472e-08 1.374990733893355355e-05 7.620750693604350090e-04
